,cash_and_equivalents,receivables,notes_receivable,inventories,other_current_assets,total_current_assets,net_property_and_equipment,investments_and_advances,other_non_current_assets,deferred_charges,intangibles,deposits_and_other_assets,total_assets,preferred_stock,common_stock,capital_surplus,retained_earnings,other_equity,treasury_stock,total_equity,total_liabilities_and_equity,shares_outstanding,book_value_per_share,notes_payable,accounts_payable,current_portion_long_term_debt,current_portion_capital_leases,accrued_expenses,income_taxes_payable,other_current_liabilities,total_current_liabilities,mortgages,deferred_taxes_or_income,convertible_debt,long_term_debt,non_current_capital_leases,other_non_current_liabilities,minority_interest_x,total_liabilities,sales,cost_of_goods,gross_profit,selling_administrative_depreciation_amortization_expenses,income_after_depreciation_and_amortization,non_operating_income,interest_expense,pretax_income,income_taxes,minority_interest_y,investment_gains,other_income,income_from_continuing_operations,extras_and_discontinued_operations,net_income
cash_and_equivalents,1.0,0.9122503935306023,0.03218306944454137,0.05908070573175638,0.10369425975330757,0.9684206650376915,0.17630517123110895,0.7585816460508054,0.06688901030512841,0.041989854920848425,0.07639814102673531,0.40278426052349664,0.8144748763497827,0.5270919064770679,0.20094588487841802,0.1994271589973605,0.27663273119329834,-0.2130633288671609,0.03704238857137627,0.4273380295332145,0.8144748763497827,0.29558471504947176,0.15726415070153807,0.8525379407604459,0.88306087004357,0.08396183950190135,0.002275754378448121,0.42821944477338997,0.12754369209037458,0.4743979181338715,0.9227533212002617,-0.026636854995308858,-0.02753929549102968,-0.04969200730728161,0.43312558291187636,-0.0025855922481852443,0.3300852645953862,0.011429088784592594,0.8463044603834428,0.28189410509498236,0.17639338738297036,0.3997423686110187,0.30274050003021047,0.40276713799692704,0.09467991750476362,0.7914372616542175,0.33504181030642244,0.2599181640935635,0.025215883368094442,-0.005364081539844128,-0.008708705162401239,0.33607666949700055,0.002983216109685486,0.33438327438625465
receivables,0.9122503935306023,1.0,-0.0023592598231463365,0.047276798125699404,0.09002797852318796,0.951731117004992,0.11274201669166732,0.8270096768945039,0.07972174183143038,0.056357782508054115,0.1124508282409951,0.4411934842555465,0.8124881154174776,0.5753937791212711,0.13607105255989496,0.14316221123512227,0.21505982391753628,-0.20331796755667447,0.024313636762910356,0.32408593740559893,0.8124881154174776,0.21261925969926462,0.10302804046558806,0.8929312163615144,0.9577079694225111,0.10594230098619489,-0.02026636219504075,0.41729573254005603,0.04669081981179712,0.45743060886944054,0.9756383890400199,-0.023589029589287793,0.020619589320619434,-0.0480424764314917,0.4721192949592142,-0.021589804679917935,0.2824412131416413,0.040968398113515055,0.8901242216960357,0.22247399809736598,0.14727483714067774,0.3017805296582575,0.2275172393880245,0.3055074315846589,0.03435751261249155,0.8388177909677138,0.22287920392049893,0.18303543833253821,0.041258146141119764,-0.019406951125976134,-0.006029052020475997,0.22062795832098223,0.00291197459516984,0.21924192814827148
notes_receivable,0.03218306944454137,-0.0023592598231463365,1.0,0.1340178880650541,-0.045314400863051864,0.12062774899090718,0.2208152998537883,0.08129420959791327,0.45147172657051154,0.14138835388548363,-0.0876922498258828,0.05747371036059602,0.15420573797072382,-0.02007084053743789,0.08157240730409157,-0.06341721988896346,0.3689890106688391,-0.17664544667367094,0.36035386799877117,0.15417081622987178,0.15420573797072382,0.06473868524592631,0.06095931192339907,0.010907967549092222,0.0525483624719199,0.5238037540752567,-0.034040682364694874,-0.08555736647851826,0.1520929022797187,0.0164544354406928,0.07531140095897829,-0.020377555355827744,0.0974786008024965,-0.04073546892383432,0.1884242315859639,-0.030710411699144805,0.1859288653866466,-0.026260214235492803,0.12734304159042958,0.16020578404537805,0.21675471140578492,0.03114676479029711,0.005422441604254499,0.05676730800749472,0.02974068913488915,0.027425340783448063,0.05314525384321506,0.09154650512152233,0.17108810492679555,-0.0012346436892174879,-0.008414195141020113,0.040594405851579404,-0.002166093297669914,0.03754070887936621
inventories,0.05908070573175638,0.047276798125699404,0.1340178880650541,1.0,0.017696085185335407,0.20354695286295474,0.2816508362639532,-0.012514736774675007,0.1368470648196553,0.04777116677268293,-0.0291844819060334,0.1478810566691981,0.22042387518050854,-0.034288075671705595,-0.008168754382750228,0.028932888573856928,0.2720001818672476,-0.17587417104860498,0.23438679332446885,0.14089786224413253,0.22042387518050854,0.15742168104224827,-0.0829502421591433,-0.006898058436415003,0.10136867429518225,0.19576661586587915,0.10666009289652302,0.4070125245411654,0.0787287229038148,0.1367149133423997,0.16935855307877296,-0.0488544796542594,0.05083703120700508,-0.09757681151286117,0.19738657763991482,0.16513720201549412,0.18201778463316667,-0.045055665132587915,0.21770447405389046,0.5085976092727934,0.5754691589980132,0.2886672743652135,0.3740475956713875,0.07366087752512618,0.03386841462656344,0.09632629291668987,0.0642696676309893,0.10338428401227263,0.06019326568609866,-0.01270776255468065,-0.0040657683433051265,0.05068371057422369,0.007495436846530159,0.05035814145354659
other_current_assets,0.10369425975330757,0.09002797852318796,-0.045314400863051864,0.017696085185335407,1.0,0.16653088191902596,0.18853655184213833,0.0641060107672067,0.0619071396767166,0.13768208986622688,0.3897950201206093,0.23240919438675997,0.2970754036711363,-0.029541915830575263,0.31487841348646906,0.1330702741390685,0.17967815184423486,0.06410492865461566,0.048890938454661234,0.3314474328125165,0.2970754036711363,0.3210262495886963,0.008501646392789908,-0.01635760630847428,0.023132923875606955,0.17041435126390633,-0.01833026892552112,0.14201945648211375,0.2113892254299809,0.3065504119684952,0.12358368771880247,-0.049541632719040794,0.21387503241602454,-0.11318037225780338,0.28721634743130525,-0.03353583605588498,0.40085635443627426,0.06622274112166661,0.229864200274653,0.22718322038405403,0.16687588164317163,0.2803998254960111,0.1642484562918777,0.3497478352792435,0.04829561164153989,0.10251669130541201,0.33755672570487216,0.29435349383327464,0.1653802908175635,-0.011821915458851908,-0.015847692960983432,0.33023730987463307,-0.016472461710622575,0.3245723344342609
total_current_assets,0.9684206650376915,0.951731117004992,0.12062774899090718,0.20354695286295474,0.16653088191902596,1.0,0.21844641105688417,0.7889533098720668,0.13480272111451072,0.07660550173381642,0.10714144530189565,0.45646173556945263,0.8688918841474884,0.532926514176224,0.19918654504159872,0.18062852484157263,0.3295842811950544,-0.24145735998781886,0.0986708771273204,0.4343490861482584,0.8688918841474884,0.30653573472705,0.12661124438514315,0.8584606716359625,0.9247415198237993,0.17786574669848715,0.0028298849540209408,0.4767169184630763,0.13054332089390708,0.5034769918884261,0.9731013716745225,-0.03705047503789218,0.024469608438686997,-0.07346817290262918,0.508999636290966,0.006778451604655648,0.3756669156045523,0.020258992637776543,0.9125180376036707,0.3530590267926332,0.27176344744655156,0.41507984046488905,0.33017254979154576,0.396119384420614,0.07826419083637126,0.8234783814924234,0.3203099105142788,0.26697904514067666,0.06707342751223962,-0.014050649380278123,-0.009885144455296898,0.31641687686741027,0.0025733621820767,0.3141558894204887
net_property_and_equipment,0.17630517123110895,0.11274201669166732,0.2208152998537883,0.2816508362639532,0.18853655184213833,0.21844641105688417,1.0,0.10749204671931582,0.0334990842835378,0.25606375032005185,0.20942031144024523,0.3524531151797532,0.5705932833744457,-0.009020479007192028,0.1970999200536238,0.3745425074855929,0.6744265939347399,0.055109708963230704,0.2976350078069635,0.793890371171201,0.5705932833744457,0.4276500410316139,0.2197386776241488,0.02485164566106916,0.1407632999598494,0.17466537238707797,0.05462663943060817,0.404979919561602,0.36941989364889577,0.014818744461907401,0.17242488505233236,-0.023820643864831407,0.6106862291334288,-0.11602722519135199,0.41893225429039205,0.08094870532206692,0.475932131886603,0.020670240211846654,0.3708947744973733,0.6344268115006045,0.5446034406619916,0.6513221426346788,0.6331208261651974,0.460830090396385,0.17296236126709666,0.21163410261034085,0.4529026088974194,0.478068433542538,0.22141330457927827,-0.016433156259440702,-0.017056668224392932,0.4221003366526641,-0.008306693343932218,0.4157935017923623
investments_and_advances,0.7585816460508054,0.8270096768945039,0.08129420959791327,-0.012514736774675007,0.0641060107672067,0.7889533098720668,0.10749204671931582,1.0,0.04954446100803556,0.0261652738020752,-0.012685001868816393,0.35657177864048695,0.7086354222840143,0.5274935685281795,0.17307914797597737,0.08804496349975613,0.24131446276045487,-0.12224404821269169,0.10462784344370198,0.29495625578699053,0.7086354222840143,0.2457182785984289,0.09026145421921346,0.6843347571612284,0.7880808112675398,0.08565215984103963,-0.041252479661142684,0.2333885829081408,0.03978151293455773,0.6025576798283885,0.8369755343928619,-0.025149787035724104,0.030555007971648403,-0.04480099623120333,0.4506823173913728,-0.03645383574576488,0.27858699494987593,0.03737518621783014,0.7708284446386434,0.20341147704243695,0.15968423292524614,0.23380346243390002,0.12193432896846747,0.3126152210520802,0.022701282882725913,0.7333685479979936,0.2484645105014555,0.2155481947316376,0.09558460130215118,0.00829143664387222,-0.010384720452404989,0.2437605705542872,-0.008636516667438003,0.24033094150423037
other_non_current_assets,0.06688901030512841,0.07972174183143038,0.45147172657051154,0.1368470648196553,0.0619071396767166,0.13480272111451072,0.0334990842835378,0.04954446100803556,1.0,0.48140419370312987,-0.07225416938136248,0.16680043722744983,0.15112810183738637,-0.018828889216331298,-0.01078308132064639,0.030951055277971994,0.02985644458424424,-0.14669591788050312,-0.008333714307838183,0.03304042178245875,0.15112810183738637,0.05502798558912633,-0.003778033158822526,-0.014609385124255692,0.030398310837962513,0.8379121652960727,-0.018265714661763636,0.07644073741544657,-0.042377690517064165,0.03738808363841766,0.10511666609567993,-0.019134524927842313,-0.04952689890126648,-0.038250606216487654,0.31479032066445933,-0.025640916649804238,0.23912745076654443,-0.021865340143606794,0.17779829909118172,0.11294443653927595,0.1871342245353487,-0.03578079765206707,-0.023808995472968136,-0.040647759873765815,0.07961917520664184,0.007995210865149151,-0.02900081037251478,-0.03945113690755134,-0.0650247020487671,-0.056172785460966934,-0.007900929422700969,-0.026162716416207578,-0.00553039718746303,-0.02569856376710862
deferred_charges,0.041989854920848425,0.056357782508054115,0.14138835388548363,0.04777116677268293,0.13768208986622688,0.07660550173381642,0.25606375032005185,0.0261652738020752,0.48140419370312987,1.0,-0.0006566451132454875,0.06605920688087655,0.17912679849929528,0.0230398294347995,0.025271187904804822,0.09367064233523223,0.14724803376560172,-0.03567642157514492,0.07952366454758743,0.1585612281022402,0.17912679849929528,0.13910120096658288,0.0419545326045628,0.006806131133576244,-0.00957909946281032,0.42519933962551826,-0.04065089017319144,0.16620649164622317,0.139851980707622,-0.010032665259236576,0.048330200740116756,-0.0469509685309462,0.15798785814814867,-0.09014967714088538,0.3021231433011532,-0.05192440921696827,0.3581762835789061,-0.005294790286953046,0.15713691719059603,0.056256337393243525,0.06318954059751021,0.03244599071784907,0.006593216980006612,0.05781530773961927,0.08667123387068512,0.06315848564139201,0.06319540461167829,0.013497869293197271,-0.14933429127235556,-0.023237122950658547,-0.019386751962192337,0.07181015431462048,0.011968703636967592,0.07493781784059277
intangibles,0.07639814102673531,0.1124508282409951,-0.0876922498258828,-0.0291844819060334,0.3897950201206093,0.10714144530189565,0.20942031144024523,-0.012685001868816393,-0.07225416938136248,-0.0006566451132454875,1.0,0.2428862865820896,0.41126829658901637,0.02625425487704975,0.27191280463338524,0.3679159829642228,0.19570983675503084,0.08226418062440997,0.09687543024598905,0.408446731514451,0.41126829658901637,0.28276140409169626,0.09009700584655746,0.0398073172072584,0.07763339417076906,0.1387350281711387,-0.059156434082011655,0.05731831597342113,0.2141368272696503,0.13845193713953632,0.11607578166352542,-0.042473933578180106,0.5541196712335003,-0.1124662833859941,0.5704573289819398,-0.046374857811921584,0.45902019821956225,0.2640542665177271,0.34085001929549646,0.188487977628561,0.10156821898751063,0.2944674566286586,0.2912120836824163,0.20139471597040212,0.033222664930402976,0.34883290409268514,0.16738263215382415,0.1455645183988856,0.4544701102731617,-0.004522293150701981,-0.01342416032493934,0.16386903482256704,0.023179297070717347,0.15907112096039858
deposits_and_other_assets,0.40278426052349664,0.4411934842555465,0.05747371036059602,0.1478810566691981,0.23240919438675997,0.45646173556945263,0.3524531151797532,0.35657177864048695,0.16680043722744983,0.06605920688087655,0.2428862865820896,1.0,0.6320555666013068,0.1643134390309608,0.30526207258331284,0.3476854675239659,0.21672425184825095,-0.00505874737267504,0.051366480647299775,0.458636016784112,0.6320555666013068,0.410511437025692,0.11457182945006429,0.31274676278786095,0.4171386964122382,0.2957244114247362,0.2670632349443685,0.3058984525855067,0.06993306169670829,0.23163381276015316,0.4591972133759718,-0.04511926947996149,0.22662600580913098,-0.10577791494035174,0.5971397661492108,0.0650074452322942,0.4837014340924252,0.15231817147546386,0.5997387913737695,0.45704864485725566,0.3725850262649073,0.5024817484895048,0.44813060282403605,0.4118477336881746,0.08580606607577863,0.49003310506306413,0.3670983877324993,0.3098780857947778,0.15338630486040217,-0.017126276211840527,-0.0033136599791340395,0.3616336300719313,0.005439224899955709,0.3580913623360785
total_assets,0.8144748763497827,0.8124881154174776,0.15420573797072382,0.22042387518050854,0.2970754036711363,0.8688918841474884,0.5705932833744457,0.7086354222840143,0.15112810183738637,0.17912679849929528,0.41126829658901637,0.6320555666013068,1.0,0.4210505517626975,0.3077206267840542,0.3901529718624941,0.5221975818042797,-0.1229786226407901,0.19507485822144918,0.721932666354821,1.0,0.48759460760991574,0.1957633315128876,0.660480106429789,0.782531515354827,0.2873587663831058,0.02933513539778839,0.5104062901679965,0.25676970112403424,0.46909121937307824,0.8500328417535548,-0.05182600918407589,0.38832283894899566,-0.1325466654470307,0.7483520146960109,0.017423880593461838,0.60713769503528,0.10689117889963873,0.9505284652405256,0.5586443292115052,0.4433454354566806,0.6342658099471268,0.5572371780157659,0.5316315700696519,0.13096339024036097,0.821456201747129,0.46141785479060893,0.4175340366762141,0.25714435020764215,-0.01740705452663363,-0.01812748444193276,0.4475576926177118,0.0033012355796382085,0.44196554937186594
preferred_stock,0.5270919064770679,0.5753937791212711,-0.02007084053743789,-0.034288075671705595,-0.029541915830575263,0.532926514176224,-0.009020479007192028,0.5274935685281795,-0.018828889216331298,0.0230398294347995,0.02625425487704975,0.1643134390309608,0.4210505517626975,1.0,-0.008353560888516739,0.051694350881757146,0.04266915418588949,-0.1004623944848918,-0.013963499883882244,0.09229849644394832,0.4210505517626975,0.0024699950172000374,0.024706258002555877,0.559070775407326,0.5781361278954832,-0.02441299516187052,-0.01616659291951237,0.14522953640613706,-0.025776245392024954,0.28181664902399484,0.5726385785014684,-0.009677703831053928,-0.012828357143002978,-0.01934607938882242,0.2440355821231168,-0.014584981552709063,0.07068254829374476,-0.014302464051061326,0.49524459477266175,-0.012674117703641515,-0.03852324730611546,0.033414675252450184,0.01177470671883307,0.05257602261911387,-0.007082556051096643,0.6439210738092362,0.002009805508021873,-0.001347074304055474,-0.006296475704658708,-4.3263488819384203e-05,-0.003996067591503171,0.0027452467307308623,-0.005082129325978979,0.0022657415171349377
common_stock,0.20094588487841802,0.13607105255989496,0.08157240730409157,-0.008168754382750228,0.31487841348646906,0.19918654504159872,0.1970999200536238,0.17307914797597737,-0.01078308132064639,0.025271187904804822,0.27191280463338524,0.30526207258331284,0.3077206267840542,-0.008353560888516739,1.0,-0.19289277901135618,0.24114512071724542,-0.16831983316945662,0.1523944430283479,0.3760296840646909,0.30772062678405415,0.41116105767587224,-0.014872645908989889,0.0343647881766251,0.08458284504643679,0.12363107977292397,-0.061786431296608255,0.05290567852129636,0.4170796091909673,0.2552093212255932,0.14783064243725116,-0.037473596036374554,0.06277501661188992,-0.06420468954019558,0.23904591547691464,-0.05489108880351732,0.41621725570366663,0.191004822777548,0.22341887384504772,0.22621944149383288,0.13736999033047742,0.3275927873471761,0.1497323440389145,0.46752559108205943,-0.0040688260768370526,0.05871000089368599,0.4478079740520408,0.36739307450063025,0.1271664923406015,-0.001141034214978608,-0.015451126629604864,0.444273375008484,7.958429746447517e-05,0.44014572351625303
capital_surplus,0.1994271589973605,0.14316221123512227,-0.06341721988896346,0.028932888573856928,0.1330702741390685,0.18062852484157263,0.3745425074855929,0.08804496349975613,0.030951055277971994,0.09367064233523223,0.3679159829642228,0.3476854675239659,0.3901529718624941,0.051694350881757146,-0.19289277901135618,1.0,0.11707221265711855,0.11659722969519212,0.061964254468432886,0.4763253644786317,0.390152971862494,0.29999317270951736,0.18704143903292386,0.094454150183655,0.13186978116492787,0.06815396545466229,0.14838657792789778,0.2708537385690821,0.09108944046838409,0.014609676039446616,0.15006111455417795,0.008693413652757094,0.3376837637149429,-0.06310761426309444,0.3525025301906888,0.0239230884519303,0.20790309948062732,-0.021834235132565088,0.28346379168820013,0.20955324413850754,0.09343368279477823,0.36086647506791647,0.4074515019850739,0.17613587477295728,0.184310326867633,0.33897298178605334,0.1770765912812045,0.1482865666544022,0.18839052560342573,-0.003665668790591819,-0.013754227380753128,0.17486530626555294,-0.015143180302990684,0.17039183060165844
retained_earnings,0.27663273119329834,0.21505982391753628,0.3689890106688391,0.2720001818672476,0.17967815184423486,0.3295842811950544,0.6744265939347399,0.24131446276045487,0.02985644458424424,0.14724803376560172,0.19570983675503084,0.21672425184825095,0.5221975818042797,0.04266915418588949,0.24114512071724542,0.11707221265711855,1.0,-0.2726120929137342,0.7507394873747053,0.7261692566958106,0.5221975818042797,0.32500764897540524,0.22988580228818584,0.160806672788295,0.21887350454245022,0.056311715527159426,-0.03913568445682198,0.39432498729203597,0.540596050186776,0.097952006955036,0.2590570101056424,-0.062320025204857965,0.33813837951588255,-0.1276136128264958,0.23478645528513276,-0.014104701909293898,0.4397729350942433,0.03239421660119341,0.3396101023096344,0.5242920502663001,0.46882588224152516,0.5064344052517604,0.4217216094720176,0.45691635361016275,0.10980786867480899,0.15019687201476734,0.44450948209959923,0.4556466583115759,0.27319725042011916,-0.013384725055583907,0.003329650899637755,0.41775554344079774,0.04179071663534513,0.41628090091898395
